scenario,category,testName,userPrompt,Assert1,Assert2,Assert3,Assert4,Assert5,Assert6,Assert7,Assert8,Assert9,tags,relativeFilePathFromEvals
generatePage,type3,Create FAQ page with categories and questions,"Create an FAQ page for the Contoso Benefits Portal. Add a Text web part for 'General Questions' with Q&A pairs: Q: When is open enrollment? A: Open enrollment runs November 1-30 annually. Q: How do I add a dependent? A: Navigate to Family > Add Dependent in the portal and provide required documentation within 30 days. Q: Can I change plans mid-year? A: Only with a qualifying life event (marriage, birth, job loss). Add a 'Healthcare & Insurance' section with: Q: What's the difference between PPO and HDHP? A: PPO has higher premiums but lower out-of-pocket costs; HDHP has lower premiums and HSA eligibility. Q: How do I find in-network providers? A: Use the provider search at provider.contoso-benefits.com. Add a 'Retirement & 401(k)' section with questions about contribution limits, vesting schedules, and loan options.",first section should exist,Page should contain exactly 3 Text web part(s),Text web part content should contain 'Healthcare' or 'Insurance',,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/faq-qa-tests.json
generatePage,type3,Build Q&A page with collapsible sections,"Build a Q&A page for the IT Help Desk covering common technical issues. Add a Text web part titled 'Password & Account Access' with Q&A: Q: How do I reset my password? A: Visit password.contoso.com or call the help desk at x5555. Passwords must be 14+ characters with uppercase, lowercase, number, and special character. Q: Why is my account locked? A: Accounts lock after 5 failed attempts. Wait 30 minutes or call the help desk. Q: How do I set up MFA? A: Download Microsoft Authenticator, go to myaccount.microsoft.com, and follow the setup wizard. Add a section for 'VPN & Remote Access' and 'Software & Applications'. Include a Quick Links web part titled 'Self-Service Resources' with links to: 'Knowledge Base' -> https://support.contoso.com/kb, 'Service Status' -> https://status.contoso.com, 'Software Catalog' -> https://software.contoso.com, and 'Submit a Ticket' -> https://support.contoso.com/new.",first section should exist,Should find exactly 3 matching elements,Page should contain exactly 2 Text web part(s),Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/faq-qa-tests.json
generatePage,type3,Create product FAQ with feedback section,"Create a product FAQ page for Contoso Analytics Pro. Add a Text web part for 'Getting Started' with: Q: What are the system requirements? A: Windows 10/11 or macOS 12+, 8GB RAM minimum (16GB recommended), modern browser (Edge, Chrome, Safari). Q: How do I connect to data sources? A: Go to Data > Connect, choose your source type (SQL, Snowflake, Salesforce, etc.), and enter credentials. Connections are encrypted and stored securely. Q: Is training available? A: Yes! Complete the self-paced certification at learn.contoso.com/analytics or schedule live training with your account team. Add a Quick Links web part for 'Community Resources' with links to the user forum, video tutorials, and template gallery. Include a Button web part labeled 'Didn\'t Find Your Answer? Ask Us!' linking to https://forms.contoso.com/analytics-questions.",Page should contain exactly 1 Text web part,Page should contain exactly 1 Quick Links web part,,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/faq-qa-tests.json
generatePage,type3,Add FAQ section with key resource links,"Add an FAQ section for the Expense Reporting process. Include a Text web part with 5 common questions: Q1: What's the submission deadline? A: Expenses must be submitted within 30 days of the transaction or 15 days after a trip ends. Q2: What documentation is required? A: Original itemized receipts for expenses over $25, conference agendas for registration fees, and attendee lists for meals. Q3: When will I get reimbursed? A: Approved expenses are reimbursed within 5 business days to your payroll account. Q4: What's the per diem rate for meals? A: Domestic travel is $75/day; international rates vary by location (see rate guide). Q5: Can I expense alcohol? A: Only for client entertainment with pre-approval; personal consumption is not reimbursable. Add a Quick Links web part with links to: 'Expense Policy' -> https://contoso.sharepoint.com/sites/finance/expense-policy, 'Rate Guide by City' -> https://contoso.sharepoint.com/sites/finance/perdiem-rates, 'Concur Login' -> https://concur.contoso.com, and 'Exception Request Form' -> https://forms.contoso.com/expense-exception.",Page should contain exactly 1 Text web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/faq-qa-tests.json
generatePage,type3,Create project showcase gallery page,"Create a project showcase page for the Contoso Innovation Lab's 2025 Projects. Add a Hero web part with the title 'Innovation Lab 2025: Our Best Work' and subtitle 'Exploring tomorrow's solutions today - 12 projects, 45 inventors, countless possibilities'. Include a Text web part for 'Featured Projects' introducing our top innovations of the year: Project Aurora (AI-powered predictive maintenance saving $5M annually), Project Lighthouse (IoT sensor network for smart buildings), and Project Harmony (Cross-platform collaboration toolkit). Add an Image web part placeholder for a project gallery grid showing thumbnails of all 12 projects. Include a Text web part for 'About the Innovation Lab' explaining that the lab was founded in 2020 to foster experimental projects with 10% of engineering time dedicated to innovation initiatives.",first section should exist,Should find exactly 4 matching elements,Page should contain exactly 1 Hero web part,Hero web part should contain item 'Innovation Lab 2025: Our Best Work',Page should contain exactly 2 Text web part(s),"Two Text web parts should cover: Featured Projects (Aurora, Lighthouse, Harmony) and About the Innovation Lab",,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/gallery-showcase-tests.json
generatePage,type3,Build case studies showcase with tiles,"Build a case studies showcase page for Contoso's Customer Success Stories. Add a Text web part for the introduction: 'See How Leading Organizations Transform with Contoso' - Our customers across healthcare, finance, manufacturing, and retail are achieving remarkable results with our platform. Include a Quick Links web part titled 'Featured Case Studies' with tile layout containing links to: 'Acme Healthcare: 50% Faster Patient Onboarding' -> https://contoso.com/cases/acme-healthcare, 'Global Bank: $10M Saved in Compliance Costs' -> https://contoso.com/cases/global-bank, 'MegaManufacturing: 99.9% Production Uptime' -> https://contoso.com/cases/mega-manufacturing, 'RetailCo: 30% Increase in Customer Satisfaction' -> https://contoso.com/cases/retailco, 'TechStart: Scaled from 10 to 10,000 Users' -> https://contoso.com/cases/techstart, and 'EduFirst: Transformed Remote Learning' -> https://contoso.com/cases/edufirst. Add a Text web part inviting visitors to submit their own success story.",Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Quick Links web part should have Tiles layout,Page should contain exactly 2 Text web part(s),,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/gallery-showcase-tests.json
generatePage,type3,Create success stories gallery with images,"Create a success stories gallery page for the Employee Recognition Wall of Fame. Add an Image web part showing a placeholder for the 'Wall of Fame' header graphic. Include a Text web part for 'Celebrating Excellence' with the introduction: Every quarter, we recognize employees who go above and beyond to embody our values and drive exceptional results. These individuals represent the best of Contoso. Add cards for 3 featured employees with their photos, names, departments, and achievement summaries: Maria Santos (Engineering) - Led the migration of 500+ services to Kubernetes with zero downtime, James Park (Sales) - Closed our largest enterprise deal in company history ($25M ARR), and Aisha Patel (Customer Success) - Achieved 98% customer retention rate across her portfolio.",Page should contain exactly 1 Image web part,Page should contain exactly 2 Text web part(s),Text web part content should match expected pattern,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/gallery-showcase-tests.json
generatePage,type3,Add portfolio section with quick link tiles,"Add a portfolio showcase section for the Marketing Creative Assets Gallery. Include a Text web part titled 'Brand Assets & Creative Portfolio' with the description: Access our latest campaign materials, brand guidelines, and creative assets. All resources follow our updated 2026 brand standards and are approved for internal and external use. Add a Quick Links web part titled 'Asset Categories' with tile layout containing links to: 'Brand Guidelines & Logos' -> https://contoso.sharepoint.com/sites/brand/guidelines, 'Campaign Materials 2026' -> https://contoso.sharepoint.com/sites/marketing/campaigns-2026, 'Social Media Templates' -> https://contoso.sharepoint.com/sites/marketing/social-templates, 'Product Photography' -> https://contoso.sharepoint.com/sites/marketing/product-photos, 'Video Library' -> https://stream.contoso.com/marketing, and 'Presentation Templates' -> https://contoso.sharepoint.com/sites/brand/presentations. Include a Text web part with contact information for creative services requests.",Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Quick Links web part should have Tiles layout,Page should contain exactly 2 Text web part(s),,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/gallery-showcase-tests.json
generatePage,type3,Create onboarding page with start here and essentials,"Create a new employee onboarding page titled 'Welcome to Contoso!'. Add a Text web part for 'Start Here - Your First Week' with a checklist: Complete I-9 verification in Workday by Day 2, Set up laptop with IT support (Building A, Room 101), Attend New Hire Orientation on Monday at 9 AM, Complete security awareness training, and Schedule 1:1 with your manager. Include a Quick Links web part titled 'Essential Resources' with links to: 'Employee Handbook' -> https://contoso.sharepoint.com/sites/hr/handbook, 'Benefits Enrollment' -> https://benefits.contoso.com, 'IT Self-Service Portal' -> https://support.contoso.com, 'Org Chart' -> https://contoso.sharepoint.com/sites/hr/orgchart, and 'Office Maps' -> https://contoso.sharepoint.com/sites/facilities/maps. Add a Text web part for 'Frequently Asked Questions' covering common new hire questions about parking, badge access, and expense reimbursement.",first section should exist,Should find exactly 3 matching elements,Page should contain exactly 2 Text web part(s),Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/onboarding-knowledge-base-tests.json
generatePage,type3,Build knowledge base article with role tracks,"Build a knowledge base article for IT Developer Onboarding. Start with a Text web part for 'Getting Started' explaining this guide will help new developers get productive within their first two weeks. Add a 'Developer Track' section covering: GitHub access request process, development environment setup guide, code review standards and PR process, CI/CD pipeline overview, and architecture documentation location. Include an 'Engineering Standards' section with our coding guidelines, testing requirements (80% coverage minimum), and documentation expectations. Add a 'Designer Collaboration' section explaining how developers work with the UX team, Figma access, and design system components. Include a 'Glossary' Text web part defining internal terms: Sprint (2-week iteration), Tiger Team (cross-functional rapid response), and Ship Room (release readiness review).",first section should exist,Page should contain at least 1 Text web part,"Page content should include: Getting Started, Developer Track, Engineering Standards, and Glossary sections",,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/onboarding-knowledge-base-tests.json
generatePage,type3,Create training hub with resources and links,"Create a training hub page for the Contoso Learning Center. Add a Quick Links web part titled 'Learning Platforms' with links to: 'LinkedIn Learning' -> https://linkedin.com/learning/contoso, 'Pluralsight' -> https://pluralsight.com/contoso, 'Internal Course Catalog' -> https://learn.contoso.com, and 'Certification Reimbursement' -> https://contoso.sharepoint.com/sites/hr/certifications. Include a second Quick Links web part titled 'Collaboration Tools Training' with links to: 'Microsoft 365 Fundamentals' -> https://learn.contoso.com/m365, 'Teams Advanced Features' -> https://learn.contoso.com/teams, 'SharePoint for Site Owners' -> https://learn.contoso.com/sharepoint, and 'Power Platform Basics' -> https://learn.contoso.com/power-platform. Add a Text web part titled 'Required Compliance Training' listing the annual requirements: Security Awareness (due annually), Data Privacy (GDPR/CCPA), Anti-Harassment, and Code of Conduct.",Page should contain exactly 2 Quick Links web part(s),Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Text web part,Text web part should contain benefits guide with healthcare plans and deadlines,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/onboarding-knowledge-base-tests.json
generatePage,type3,Add onboarding checklist with contacts,"Add an onboarding checklist section for new managers. Include a Text web part titled 'Manager Onboarding Checklist - First 90 Days' with phases: Days 1-30: Complete Manager Essentials training, Review team org structure and roles, Schedule introductory 1:1s with all direct reports, and Review team's current projects and commitments. Days 31-60: Attend Leadership Forum, Complete first performance conversations, Identify quick wins and improvement areas. Days 61-90: Present 90-day assessment to skip level, Establish team goals aligned to department OKRs. Add a Quick Links web part with links to: 'Manager Toolkit' -> https://contoso.sharepoint.com/sites/hr/manager-toolkit, 'Performance Management Guide' -> https://contoso.sharepoint.com/sites/hr/performance, 'Hiring Process' -> https://contoso.sharepoint.com/sites/hr/hiring, and 'Budget Guidelines' -> https://contoso.sharepoint.com/sites/finance/budgets. Include a People web part titled 'Your HR Support Team' with the HR Business Partner and Learning & Development contact.",Page should contain exactly 1 Text web part,Text web part content should match expected pattern,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/onboarding-knowledge-base-tests.json
generatePage,type3,Create policy document with summary and scope,"Create a policy document page for the Information Security Policy (ISP-2026-001). Add a Text web part for 'Executive Summary' explaining that this policy establishes the framework for protecting Contoso's information assets, ensuring confidentiality, integrity, and availability of all corporate data. Include a 'Scope' section stating this policy applies to all employees, contractors, vendors, and third parties with access to Contoso systems. Add a 'Definitions' section defining key terms: Confidential Information, Data Classification, Security Incident, and Authorized User. Create a 'Policy Statements' section with numbered requirements covering password standards (minimum 14 characters, MFA required), data handling procedures, and incident reporting requirements.",first section should exist,Page should contain exactly 4 Text web part(s),Text web part content should match expected pattern,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/policy-sop-tests.json
generatePage,type3,Build SOP page with procedures and change history,"Build a Standard Operating Procedure page for the Vendor Onboarding Process (SOP-PROC-042). Include a Text web part for 'Purpose and Summary' explaining this SOP defines the steps for evaluating, approving, and onboarding new vendors to ensure compliance with security, legal, and financial requirements. Add a 'Procedure Steps' section with detailed numbered steps: 1. Submit vendor request via ServiceNow, 2. Security team conducts risk assessment (5 business days), 3. Legal reviews contract terms (3-5 business days), 4. Finance verifies payment terms and credit, 5. Procurement creates vendor record in SAP, 6. IT provisions system access as required. Include a 'Change History' section with a table showing Version 1.0 (Initial release - Jan 2024), Version 1.1 (Added security assessment - June 2024), Version 2.0 (Updated for new compliance requirements - Jan 2026).",first section should exist,Page should contain exactly 3 Text web part(s),Text web part content should match expected pattern,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/policy-sop-tests.json
generatePage,type3,Create compliance policy with metadata and links,"Create a compliance policy page for the Code of Business Conduct and Ethics. Add a Text web part for 'Policy Overview' covering our commitment to ethical business practices, compliance with laws and regulations, and expectations for employee behavior. Include sections on conflicts of interest, gifts and entertainment limits ($100 max), confidentiality obligations, and anti-corruption guidelines. Add a Quick Links web part titled 'Related Documents' with links to: 'Conflict of Interest Disclosure Form' -> https://forms.contoso.com/coi-disclosure, 'Gift Registry' -> https://contoso.sharepoint.com/sites/compliance/gift-registry, 'Ethics Hotline' -> https://contoso.ethicspoint.com, and 'Annual Training Module' -> https://learn.contoso.com/ethics-training. Include a Text web part for 'Acknowledgment Requirement' stating all employees must acknowledge this policy annually through Workday.",Page should contain at least 2 Text web parts,Text web parts should contain Policy Overview and Acknowledgment Requirement sections,Page should contain exactly 1 Quick Links web part,Quick Links web part should have title 'Related Documents',Page should contain exactly 1 Quick Links web part,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/policy-sop-tests.json
generatePage,type3,Add policy section with version and owner,"Add a policy metadata section for the Data Retention Policy (POL-IT-015, Version 3.2). Include a Text web part displaying: Document ID: POL-IT-015, Version: 3.2, Effective Date: January 1, 2026, Review Date: January 1, 2027, Classification: Internal Use Only, and Supersedes: Version 3.1 dated July 2025. Add a People web part titled 'Policy Ownership' showing: Policy Owner - Maria Garcia (maria.garcia@contoso.com) Chief Data Officer, Policy Reviewer - James Wilson (james.wilson@contoso.com) Legal Counsel, and Technical Owner - Robert Chen (robert.chen@contoso.com) Director of IT Compliance. Include a Quick Links web part with links to: 'Download PDF Version' -> https://contoso.sharepoint.com/sites/policies/data-retention-v3.2.pdf, 'Request Exception' -> https://forms.contoso.com/policy-exception, and 'Previous Versions' -> https://contoso.sharepoint.com/sites/policies/data-retention/versions.",Page should contain exactly 1 Text web part,Text web part content should match expected pattern,Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/policy-sop-tests.json
generatePage,type3,Create release notes page with version and changes,"Create a release notes page for Contoso Platform Version 5.0.0 released January 15, 2026. Add a Text web part for 'Release Overview' with version 5.0.0, release date January 15, 2026, and classification as Major Release. Include a 'New Features' section with: AI-Powered Search - Natural language queries now supported across all content types, Real-Time Collaboration - See live cursors and edits from team members, Advanced Analytics Dashboard - 50+ new visualization options with drill-down capabilities, and Mobile Offline Mode - Full functionality without internet connection. Add a 'Bug Fixes' section listing: Fixed memory leak in document preview (Issue #4521), Resolved SSO timeout affecting Safari users (Issue #4498), Corrected timezone display in scheduling module (Issue #4456), and Fixed export to PDF formatting issues (Issue #4412). Include a 'Known Issues' section and a 'Breaking Changes' section noting the deprecated v1 API endpoints.",first section should exist,Page should contain exactly 5 Text web part(s),"Five Text web parts should cover: Release Overview (v5.0.0), New Features, Bug Fixes, Known Issues, Breaking Changes",,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/release-notes-change-log-tests.json
generatePage,type3,Build change log with impact and status,"Build a change log page for the HR System Updates - Q1 2026. Add a Text web part for 'Recent Changes' with a table format showing: Date, Change Description, and Status columns. Include entries: Jan 15 - Updated leave accrual calculations (Complete), Jan 10 - New performance review workflow (Complete), Jan 8 - Benefits enrollment portal refresh (Complete), and Jan 5 - SSO integration with Okta (In Progress). Add an 'Impact Assessment' section explaining these changes affect all 5,000+ employees and require no action unless specifically noted. Include a 'Rollout Status' section showing: North America (100% complete), EMEA (75% complete - ETA Jan 20), and APAC (Scheduled Jan 22). Add a Quick Links web part with links to: 'Full Change History' -> https://contoso.sharepoint.com/sites/hr-systems/changelog, 'Submit Feedback' -> https://forms.contoso.com/hr-feedback, 'Training Videos' -> https://learn.contoso.com/hr-updates, and 'Support Tickets' -> https://support.contoso.com/hr.",first section should exist,Should find exactly 4 matching elements,Page should contain exactly 3 Text web part(s),"Three Text web parts should cover: Recent Changes table, Impact Assessment, Rollout Status by region",Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/release-notes-change-log-tests.json
generatePage,type3,Create feature release announcement with details,"Create a feature release announcement page for the new Contoso Copilot Integration. Add a Hero web part with the title 'Introducing Contoso Copilot' and subtitle 'AI-powered assistance now available in all Contoso applications'. Include a Text web part for 'Feature Overview' explaining: Contoso Copilot brings the power of AI directly into your workflow. Generate reports with natural language, automate repetitive tasks, and get intelligent suggestions based on your work patterns. Available starting January 20, 2026 for all Pro and Enterprise license holders. Add a 'How to Get Started' section with numbered steps: 1. Ensure your license includes Copilot access (check with IT), 2. Look for the Copilot icon in the top navigation bar, 3. Complete the 10-minute interactive tutorial, 4. Start with simple prompts and explore capabilities. Include a 'Migration Notes' section for users of the legacy Assistant feature. Add a Text web part for 'Support Resources' with contact information.",Page should contain exactly 1 Hero web part,Hero web part should contain item 'Introducing Contoso Copilot',Page should contain exactly 4 Text web part(s),"Four Text web parts should cover: Feature Overview, How to Get Started, Migration Notes, Support Resources",,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/release-notes-change-log-tests.json
generatePage,type3,Add version history section with links,"Add a version history section for the Contoso Mobile App. Include a Quick Links web part titled 'Previous Releases' with links to: 'Version 4.9.2 (December 2025)' -> https://contoso.sharepoint.com/sites/mobile/releases/4.9.2, 'Version 4.9.1 (November 2025)' -> https://contoso.sharepoint.com/sites/mobile/releases/4.9.1, 'Version 4.9.0 (October 2025)' -> https://contoso.sharepoint.com/sites/mobile/releases/4.9.0, 'Version 4.8.x Archive' -> https://contoso.sharepoint.com/sites/mobile/releases/4.8-archive, and 'All Releases' -> https://contoso.sharepoint.com/sites/mobile/releases. Add a Button web part labeled 'Report a Bug or Request a Feature' linking to https://forms.contoso.com/mobile-feedback. Include a Text web part with instructions on how to check your current app version and enable automatic updates.",Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/release-notes-change-log-tests.json
generatePage,type3,Create resource portal with categorized links,"Create an IT Resource Portal page for the Technology Services Hub. Add a Hero web part with title 'IT Self-Service Portal' and subtitle 'Get help, access tools, and submit requests - all in one place'. Include a Quick Links web part titled 'Quick Access Tools' with links to: 'Service Desk Portal' -> https://servicedesk.contoso.com, 'Software Catalog' -> https://contoso.sharepoint.com/sites/it/software, 'VPN Downloads' -> https://vpn.contoso.com/downloads, and 'Password Reset' -> https://passwordreset.contoso.com. Add another Quick Links web part titled 'Documentation' with links to: 'IT Knowledge Base' -> https://kb.contoso.com, 'System User Guides' -> https://contoso.sharepoint.com/sites/it/guides, and 'Security Policies' -> https://contoso.sharepoint.com/sites/it/security. Include a Quick Links web part titled 'Training Resources' with links to: 'IT Training Videos' -> https://stream.contoso.com/it-training, 'Certification Programs' -> https://learn.contoso.com/certifications, and 'New Hire IT Setup' -> https://contoso.sharepoint.com/sites/it/onboarding. Add a Text web part for 'Support Hours' showing: Phone Support: Mon-Fri 6AM-8PM PST | Email: it.support@contoso.com | Emergency: 24/7 on-call for P1 incidents.",first section should exist,Should find exactly 4 matching elements,Page should contain exactly 1 Hero web part,Hero web part should contain item 'IT Self-Service Portal',Page should contain exactly 3 Quick Links web part(s),Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/resource-portal-link-hub-tests.json
generatePage,type3,Build link hub with multiple categories,"Build a link hub page for the IT department with quick links organized into four categories. First, add a Quick Links web part titled 'Software Tools' with links to: 'Office 365 Admin' -> https://admin.microsoft.com, 'Azure Portal' -> https://portal.azure.com, 'GitHub Enterprise' -> https://github.contoso.com, and 'Jira Service Desk' -> https://jira.contoso.com. Second, add a Quick Links web part titled 'IT Policies' with links to: 'Acceptable Use Policy' -> https://contoso.sharepoint.com/sites/it/aup, 'Data Classification Guide' -> https://contoso.sharepoint.com/sites/it/data-classification, 'Remote Work Policy' -> https://contoso.sharepoint.com/sites/hr/remote-work, and 'Security Standards' -> https://contoso.sharepoint.com/sites/it/security-standards. Third, add a Quick Links web part titled 'Help & Support' with links to: 'Submit a Ticket' -> https://servicedesk.contoso.com/submit, 'Chat with Support' -> https://teams.microsoft.com/l/chat/support, 'Known Issues' -> https://contoso.sharepoint.com/sites/it/known-issues, and 'System Status' -> https://status.contoso.com. Fourth, add a Quick Links web part titled 'Request Forms' with links to: 'New Equipment Request' -> https://forms.contoso.com/equipment, 'Access Request' -> https://forms.contoso.com/access, 'Software License Request' -> https://forms.contoso.com/software, and 'Conference Room AV Setup' -> https://forms.contoso.com/av-setup.",first section should exist,Should find exactly 4 matching elements,Page should contain exactly 4 Quick Links web part(s),Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/resource-portal-link-hub-tests.json
generatePage,type3,Create employee resource hub with hero,"Create an Employee Benefits Hub page for Total Rewards. Add a Hero web part with title 'Your Complete Benefits Guide' and subtitle 'Explore all the benefits and perks available to Contoso employees - health, financial, and work-life balance'. Include a Quick Links web part titled 'Health & Wellness' with links to: 'Medical Plan Options' -> https://benefits.contoso.com/medical, 'Dental & Vision' -> https://benefits.contoso.com/dental-vision, 'Mental Health Resources' -> https://benefits.contoso.com/mental-health, 'Gym Membership Discounts' -> https://benefits.contoso.com/fitness, and 'Employee Assistance Program' -> https://eap.contoso.com. Add another Quick Links web part titled 'Financial & Time Off' with links to: '401(k) Enrollment' -> https://fidelity.com/contoso, 'Stock Purchase Plan' -> https://etrade.com/contoso-espp, 'PTO Balance & Requests' -> https://workday.contoso.com/timeoff, and 'Tuition Reimbursement' -> https://benefits.contoso.com/tuition.",Page should contain exactly 1 Hero web part,Hero web part should contain item 'Your Complete Benefits Guide',Page should contain exactly 2 Quick Links web part(s),Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/resource-portal-link-hub-tests.json
generatePage,type3,Add quick access section with key links,"Add a quick access section for the Learning & Development Resource Center. Include a Quick Links web part titled 'Essential Learning Resources' with descriptive links to: 'LinkedIn Learning - Access 16,000+ courses on business, tech, and creative skills' -> https://linkedin.com/learning/contoso, 'Pluralsight - Technical training for developers, IT pros, and data professionals' -> https://pluralsight.com/contoso, 'Internal Knowledge Base - Contoso-specific training and documentation' -> https://learn.contoso.com, 'Certification Prep - Prepare for Microsoft, AWS, and industry certifications' -> https://contoso.sharepoint.com/sites/learning/certifications, 'Leadership Development - Programs for emerging and senior leaders' -> https://contoso.sharepoint.com/sites/learning/leadership, 'Career Framework - Understand role expectations and growth paths' -> https://careers.contoso.com/framework, 'Mentorship Program - Connect with experienced mentors across the organization' -> https://contoso.sharepoint.com/sites/hr/mentorship, and '1:1 Meeting Templates - Resources for effective manager-employee conversations' -> https://contoso.sharepoint.com/sites/hr/1-1-templates.",Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,Page should contain exactly 1 Quick Links web part,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/resource-portal-link-hub-tests.json
generatePage,type3,Create monthly status report with KPIs and highlights,"Create a monthly status report page for the Digital Transformation project - January 2026. Start with a Text web part containing an executive summary with our key performance indicators: 87% of milestones completed on time, $2.3M budget utilized of $3M allocated, and 156 employees trained. Add a second Text web part section titled 'January Highlights' with bullet points covering: completed cloud migration for Finance department, launched new employee portal with 3,000+ daily active users, and achieved 99.9% system uptime. Include a third Text web part for 'February Priorities' listing the next phase objectives.",first section should exist,Page should contain exactly 3 Text web part(s),Text web part content should match expected pattern,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/status-update-monthly-report-tests.json
generatePage,type3,Build project status page with risks and blockers section,"Build a project status page for the ERP Implementation project. Add a Text web part for 'Current Progress' showing we are 65% complete with Phase 2 - Data Migration. Add a section titled 'Risks and Blockers' using a Text web part listing: (High) Vendor delivery delays impacting timeline by 2 weeks, (Medium) Additional training needed for finance team, (Low) Minor UI customization requests pending. Include a 'Timeline' section with key dates. Add a People web part titled 'Project Leadership' showing the project sponsors and leads. Finally, add a Quick Links web part with links to the project charter, weekly meeting notes, and JIRA board.",first section should exist,Should find exactly 5 matching elements,Page should contain exactly 1 People web part,Page should contain exactly 1 People web part,Page should contain exactly 3 Text web part(s),Text web part content should match expected pattern,Page should contain exactly 1 Quick Links web part,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/status-update-monthly-report-tests.json
generatePage,type3,Create quarterly report with embedded charts placeholder,"Create a Q4 2025 quarterly report page for the Sales division. Start with a Text web part containing the 'Executive Summary' highlighting record revenue of $45M (18% above target), 234 new enterprise customers acquired, and 95% customer retention rate. Add a section titled 'Key Metrics Dashboard' with placeholder text indicating where the Power BI dashboard will be embedded showing sales by region, product line performance, and pipeline analysis. Include a 'Regional Performance' section with a Text web part containing a table comparing North America, EMEA, and APAC results.",first section should exist,Page should contain exactly 3 Text web part(s),Text web part content should match expected pattern,,,,,,,SharePointPage generatePage page popularPage visualExpectation,pages/generatePage/popularPage/status-update-monthly-report-tests.json
